,B-SOiD labels,Start time (frames),Run lengths
529,2,1337,2
530,10,1339,1
531,2,1340,2
532,11,1342,7
533,6,1349,1
534,9,1350,3
535,2,1353,1
536,9,1354,1
537,7,1355,1
538,1,1356,1
539,2,1357,3
540,9,1360,6
541,3,1366,1
542,11,1367,1
543,6,1368,1
544,11,1369,1
545,9,1370,1
546,11,1371,1
547,1,1372,1
548,8,1373,1
549,7,1374,1
550,2,1375,4
551,9,1379,2
552,1,1381,2
553,10,1383,1
554,9,1384,4
555,11,1388,12
556,10,1400,1
557,5,1401,1
558,9,1402,2
559,8,1404,2
560,9,1406,3
561,5,1409,1
562,11,1410,1
563,5,1411,1
564,11,1412,1
565,5,1413,1
566,1,1414,1
567,5,1415,1
568,11,1416,1
569,10,1417,3
570,9,1420,5
571,11,1425,6
572,5,1431,1
573,10,1432,1
574,9,1433,8
575,8,1441,1
576,9,1442,4
577,10,1446,1
578,13,1447,1
579,9,1448,5
580,11,1453,6
581,8,1459,1
582,11,1460,5
583,5,1465,2
584,1,1467,1
585,9,1468,1
586,5,1469,1
587,9,1470,4
588,8,1474,1
589,0,1475,2
590,2,1477,3
591,7,1480,1
592,9,1481,1
593,5,1482,1
594,0,1483,2
595,5,1485,2
596,0,1487,1
597,2,1488,16
598,9,1504,3
599,11,1507,2
600,8,1509,2
601,11,1511,5
602,2,1516,1
603,11,1517,4
604,0,1521,2
605,1,1523,1
606,8,1524,2
607,0,1526,1
608,1,1527,1
609,10,1528,2
610,9,1530,2
611,5,1532,1
612,8,1533,1
613,5,1534,1
614,9,1535,1
615,11,1536,8
616,0,1544,1
617,2,1545,1
618,11,1546,3
619,1,1549,2
620,10,1551,1
621,2,1552,3
622,11,1555,2
623,6,1557,1
624,2,1558,1
625,11,1559,13
626,7,1572,1
627,10,1573,1
628,1,1574,1
629,11,1575,1
630,1,1576,1
631,11,1577,1
632,1,1578,1
633,2,1579,1
634,11,1580,12
635,6,1592,2
636,2,1594,3
637,11,1597,7
638,1,1604,1
639,2,1605,1
640,11,1606,3
641,1,1609,1
642,5,1610,5
643,0,1615,1
644,11,1616,1
645,10,1617,3
646,11,1620,1
647,10,1621,1
648,9,1622,5
649,10,1627,1
650,11,1628,15
651,1,1643,1
652,7,1644,2
653,9,1646,4
654,0,1650,1
655,9,1651,3
656,11,1654,3
657,1,1657,2
658,5,1659,1
659,9,1660,1
660,5,1661,2
661,11,1663,1
662,5,1664,1
663,1,1665,1
664,9,1666,2
665,11,1668,4
666,9,1672,3
667,5,1675,2
668,11,1677,1
669,5,1678,1
670,11,1679,4
671,2,1683,2
672,11,1685,6
673,8,1691,1
674,11,1692,2
675,1,1694,1
676,10,1695,2
677,2,1697,2
678,11,1699,6
679,0,1705,1
680,11,1706,11
681,13,1717,1
682,9,1718,9
683,2,1727,1
684,9,1728,6
685,2,1734,3
686,11,1737,1
687,10,1738,1
688,1,1739,2
689,9,1741,6
690,2,1747,2
691,9,1749,1
692,10,1750,1
693,7,1751,1
694,6,1752,1
695,9,1753,1
696,5,1754,1
697,1,1755,1
698,9,1756,2
699,11,1758,18
700,2,1776,3
701,9,1779,3
702,1,1782,6
703,9,1788,11
704,11,1799,1
705,8,1800,2
706,0,1802,1
707,9,1803,1
708,5,1804,1
