,B-SOiD labels,Start time (frames),Run lengths
509,7,1288,1
510,2,1289,1
511,7,1290,1
512,1,1291,4
513,11,1295,15
514,9,1310,1
515,8,1311,5
516,1,1316,4
517,8,1320,1
518,1,1321,1
519,7,1322,2
520,2,1324,3
521,9,1327,3
522,10,1330,2
523,1,1332,1
524,10,1333,1
525,9,1334,1
526,1,1335,2
527,2,1337,1
528,10,1338,2
529,2,1340,2
530,7,1342,1
531,11,1343,1
532,7,1344,1
533,1,1345,2
534,11,1347,1
535,1,1348,2
536,5,1350,1
537,1,1351,2
538,10,1353,2
539,2,1355,1
540,10,1356,1
541,1,1357,4
542,11,1361,3
543,1,1364,1
544,8,1365,1
545,1,1366,1
546,8,1367,1
547,1,1368,1
548,11,1369,1
549,0,1370,1
550,2,1371,3
551,9,1374,1
552,8,1375,1
553,1,1376,1
554,8,1377,1
555,5,1378,6
556,9,1384,2
557,5,1386,1
558,0,1387,1
559,8,1388,1
560,9,1389,8
561,8,1397,1
562,5,1398,3
563,11,1401,1
564,5,1402,6
565,1,1408,1
566,11,1409,1
567,5,1410,1
568,1,1411,2
569,5,1413,6
570,11,1419,11
571,1,1430,2
572,9,1432,2
573,2,1434,2
574,9,1436,2
575,2,1438,3
576,9,1441,7
577,11,1448,16
578,8,1464,1
579,5,1465,1
580,0,1466,3
581,11,1469,1
582,6,1470,1
583,0,1471,8
584,2,1479,4
585,0,1483,1
586,11,1484,3
587,5,1487,4
588,11,1491,4
589,1,1495,1
590,8,1496,1
591,1,1497,1
592,10,1498,1
593,7,1499,1
594,9,1500,1
595,1,1501,1
596,9,1502,9
597,8,1511,2
598,5,1513,4
599,11,1517,1
600,5,1518,2
601,11,1520,1
602,5,1521,3
603,11,1524,2
604,1,1526,3
605,10,1529,4
606,7,1533,1
607,10,1534,2
608,1,1536,1
609,11,1537,1
610,5,1538,1
611,9,1539,3
612,5,1542,1
613,1,1543,4
614,5,1547,1
615,1,1548,2
616,10,1550,1
617,9,1551,1
618,5,1552,2
619,9,1554,1
620,11,1555,9
621,1,1564,3
622,10,1567,4
623,7,1571,8
624,2,1579,1
625,11,1580,2
626,0,1582,1
627,2,1583,2
628,10,1585,1
629,2,1586,2
630,10,1588,1
631,2,1589,1
632,11,1590,3
633,1,1593,1
634,5,1594,1
635,1,1595,2
636,10,1597,1
637,7,1598,1
638,10,1599,4
639,7,1603,1
640,2,1604,3
641,1,1607,2
642,11,1609,8
643,0,1617,2
644,8,1619,1
645,11,1620,1
646,7,1621,1
647,10,1622,2
648,7,1624,2
649,9,1626,9
650,11,1635,9
651,8,1644,2
652,11,1646,2
653,6,1648,2
654,2,1650,1
655,6,1651,1
656,11,1652,6
657,5,1658,1
658,9,1659,2
659,0,1661,1
660,11,1662,1
661,8,1663,3
662,12,1666,1
663,0,1667,2
664,9,1669,1
665,0,1670,2
666,10,1672,1
667,2,1673,12
668,9,1685,1
669,1,1686,3
670,10,1689,1
671,1,1690,1
672,9,1691,1
673,2,1692,1
674,10,1693,1
675,5,1694,1
676,0,1695,2
677,9,1697,3
678,11,1700,17
679,10,1717,1
680,7,1718,1
681,10,1719,1
682,1,1720,3
683,7,1723,1
684,11,1724,2
685,1,1726,3
686,0,1729,1
687,7,1730,5
688,6,1735,1
689,11,1736,11
690,5,1747,1
691,11,1748,4
692,5,1752,1
693,1,1753,1
694,11,1754,2
695,8,1756,1
696,5,1757,2
697,8,1759,1
698,1,1760,1
699,5,1761,1
700,0,1762,1
701,1,1763,3
702,8,1766,1
703,1,1767,1
704,7,1768,1
705,1,1769,2
706,7,1771,2
707,2,1773,6
708,11,1779,1
709,2,1780,1
710,11,1781,1
711,7,1782,1
712,2,1783,1
713,11,1784,1
714,1,1785,1
715,11,1786,2
716,5,1788,1
717,8,1789,2
718,1,1791,1
719,8,1792,1
720,5,1793,2
721,8,1795,1
722,5,1796,3
723,0,1799,1
724,9,1800,1
725,5,1801,4
726,8,1805,2
727,11,1807,2
728,5,1809,4
729,0,1813,1
730,9,1814,1
731,8,1815,5
732,2,1820,1
733,7,1821,1
734,10,1822,1
735,7,1823,1
736,2,1824,1
737,1,1825,6
738,7,1831,1
739,10,1832,1
740,7,1833,1
741,0,1834,1
742,8,1835,1
743,1,1836,4
744,6,1840,3
745,1,1843,1
746,2,1844,1
747,6,1845,1
748,8,1846,1
749,5,1847,1
750,11,1848,6
751,7,1854,1
752,2,1855,6
753,7,1861,2
754,10,1863,1
755,2,1864,1
756,0,1865,1
757,11,1866,2
758,5,1868,1
759,10,1869,1
760,5,1870,1
761,1,1871,1
762,5,1872,10
763,11,1882,7
764,1,1889,1
765,10,1890,1
766,1,1891,3
767,9,1894,2
768,2,1896,1
769,9,1897,7
770,5,1904,11
771,14,1915,4
772,9,1919,7
773,2,1926,2
774,9,1928,3
775,2,1931,2
776,7,1933,1
777,10,1934,2
